Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 104		Hereford	1356-03-28T00:00:00Z		70ba9fe3-5619-455e-a3df-765d5d79ff1b	70ba9fe3-5619-455e-a3df-765d5d79ff1b	70ba9fe3-5619-455e-a3df-765d5d79ff1b;HCM 104	Cecily, his wife	Cecily wife of Henry de Hamstude	his wife	PERSON	wife to Henry de Hamstude, citizen of Hereford			Principal|Woman				Principal			W
HCM 104		Hereford	1356-03-28T00:00:00Z		a19e3550-d803-4bf2-84bd-6b52cb98e1c5			a tenement in Hereford in a street called Byhyndenthewalles	a tenement in Hereford in a street called Byhyndenthewalles		PLACE											
HCM 104		Hereford	1356-03-28T00:00:00Z		bad92db0-1722-4a7b-9771-71a31b2edfa3			tenement	tenement		PLACE											
HCM 104		Hereford	1356-03-28T00:00:00Z		01f39bd0-0f32-4925-8266-54e6361607ac	01f39bd0-0f32-4925-8266-54e6361607ac	01f39bd0-0f32-4925-8266-54e6361607ac;HCM 104	et ee all. Deuersas	William Deuereys	dominus	PERSON				Neighbor|Clerical	Neighbor|Clerical						M
HCM 104		Hereford	1356-03-28T00:00:00Z		1670c344-a839-4b2a-ad54-2bf2494081ef	a6e638ef-0f9b-4e4b-8fa6-0be288356796	a6e638ef-0f9b-4e4b-8fa6-0be288356796;HCM 104	Phillip de M'	Philip de la More		PERSON	doc has just Phillip de M'; More--since there's a John de la More too, dates work			Neighbor	Neighbor						M
HCM 104		Hereford	1356-03-28T00:00:00Z		01dfcbcf-1e60-4267-887d-fa33a4a23290	01dfcbcf-1e60-4267-887d-fa33a4a23290	01dfcbcf-1e60-4267-887d-fa33a4a23290;HCM 104	william de wyke, penitentiary of Hereford,	William de Wyk	penitentiary of Hereford	PERSON	penitentiary of Hereford means clerical not civic, right?|magister has dropped out of OCR			Neighbor|Clerical	Neighbor|Clerical						M
HCM 104		Hereford	1356-03-28T00:00:00Z		f4981c79-9258-4c53-84cf-a79622df8cbc			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 104		Hereford	1356-03-28T00:00:00Z		986a2848-b6b7-44ae-9c82-dd6eaabec26d	986a2848-b6b7-44ae-9c82-dd6eaabec26d	986a2848-b6b7-44ae-9c82-dd6eaabec26d;HCM 104	John le Clerk	John le Clerk of Hereford	bailiff of the city of Hereford	PERSON				Witness|Clerical|Agent	|Clerical|Agent				Witness		M
HCM 104		Hereford	1356-03-28T00:00:00Z		0f3de67a-7118-4c74-b62b-d1265bf79812	0f3de67a-7118-4c74-b62b-d1265bf79812	0f3de67a-7118-4c74-b62b-d1265bf79812;HCM 104	William Steuenes, then bailiffs of the city of Hereford	William Stevenes	bailiff of the city of Hereford	PERSON				Witness|Agent	Agent				Witness		M
HCM 104		Hereford	1356-03-28T00:00:00Z		37ca9200-02ee-45e6-a121-86dd1967f95b	518568ab-fc48-4fe9-9c26-659db6090111	518568ab-fc48-4fe9-9c26-659db6090111;HCM 104	Hereford	King Edward III		PERSON	The King in the city of Hereford			Office		Office					M
