Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	RBLR 1105						PLACE		51.86568	-2.2431	Given at							
	RBLR 3109						PLACE		51.86568	-2.2431	Given at (suggested)							
	HCM 3215.B						PLACE				Given at							
	HCM 3215 A						PLACE				Given at							
	HCM 2705						PLACE				Given at							
	HCM 2877						PLACE				Given at							
	HCM 2136						PLACE											
	HCM 2142						PLACE											
	HCM 2143						PLACE											
	HCM 2141						PLACE											
	RBLR 3706	RBLR 3706, HCM R88					PLACE		-31.9	115.96667	Given at							
	HCM 1933						PLACE											
	HCM 1918						PLACE											
	HCM 1719						PLACE											
	HCM 1910						PLACE											
	HCM 226						PLACE											
	HCM 36						PLACE											
	HCM 691						PLACE											
	HCM 7						PLACE											
	HCM 296						PLACE											
	HCM 308						PLACE											
	HCM 308-em						PLACE											
	HCM 1306						PLACE											
	HCM 537						PLACE											
	HCM 428						PLACE											
	RBLR 3405						PLACE				Given at							
	RBLR 3502	RBLR 3502, HCM R85					PLACE				Given at							
	RBLR 3005						PLACE				Given at							
	RBLR 3103	RBLR 3103, HCM R81					PLACE				Given at							
	RBLR 3104						PLACE				Given at							
	RBLR 3105						PLACE				Given at							
	RBLR 3106						PLACE				Given at							
	RBLR 3107						PLACE				Given at							
	RBLR 3201						PLACE				Given at							
	RBLR 3401						PLACE				Given at							
	RBLR 3402						PLACE				Given at							
	RBLR 3903	RBLR 3903, HCM R91					PLACE				Given at							
	RBLR 4803						PLACE				Given at							
	HCM 286						PLACE				Given at							
	HCM 2583						PLACE				Given at							
	HCM 2584						PLACE				Given at							
	HCM 2588						PLACE				Given at (suggested)							
	HCM 2589						PLACE				Given at (suggested)							
	HCM 2590						PLACE				Given at (suggested)							
	HCM 589						PLACE				Given at							
	HCM 1003	RBLR 1732, HCM 1003					PLACE		52.05684	-2.71482	Given at							
	HCM 1023	RBLR 1735, HCM 1023					PLACE		52.05684	-2.71482	Given at							
	HCM 1024	RBLR 1702, HCM 1024					PLACE		52.05684	-2.71482	Given at							
	HCM 1025	RBLR 1706, HCM 1025					PLACE		52.05684	-2.71482	Given at							
	HCM 104						PLACE		52.05684	-2.71482	Given at							
	HCM 1056						PLACE		52.05684	-2.71482	Given at							
	HCM 119						PLACE		52.05684	-2.71482	Given at							
	HCM 123						PLACE		52.05684	-2.71482	Given at							
	HCM 1264						PLACE		52.05684	-2.71482	Given at							
	HCM 1265						PLACE		52.05684	-2.71482	Given at							
	HCM 1281						PLACE		52.05684	-2.71482	Given at							
	HCM 1287						PLACE		52.05684	-2.71482	Given at							
	HCM 1300						PLACE		52.05684	-2.71482	Given at							
	HCM 1370						PLACE		52.05684	-2.71482	Given at							
	HCM 1374						PLACE		52.05684	-2.71482	Given at							
	HCM 1376						PLACE		52.05684	-2.71482	Given at							
	HCM 1377	RBLR 4303, HCM 1377					PLACE		52.05684	-2.71482	Given at							
	HCM 139						PLACE		52.05684	-2.71482	Given at							
	HCM 140						PLACE		52.05684	-2.71482	Given at							
	HCM 1419						PLACE		52.05684	-2.71482	Given at							
	HCM 142						PLACE		52.05684	-2.71482	Given at							
	HCM 1421						PLACE		52.05684	-2.71482	Given at							
	HCM 1425						PLACE		52.05684	-2.71482	Given at							
	HCM 1426						PLACE		52.05684	-2.71482	Given at							
	HCM 1427						PLACE		52.05684	-2.71482	Given at							
	HCM 1433						PLACE		52.05684	-2.71482	Given at							
	HCM 1436						PLACE		52.05684	-2.71482	Given at							
	HCM 1438						PLACE		52.05684	-2.71482	Given at							
	HCM 1448a	RBLR 6101, HCM 1448a					PLACE		52.05684	-2.71482	Given at							
	HCM 1471						PLACE		52.05684	-2.71482	Given at							
	HCM 1472						PLACE		52.05684	-2.71482	Given at							
	HCM 1473						PLACE		52.05684	-2.71482	Given at							
	HCM 1474						PLACE		52.05684	-2.71482	Given at							
	HCM 1485						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 1487						PLACE		52.05684	-2.71482	Given at							
	HCM 1489						PLACE		52.05684	-2.71482	Given at							
	HCM 150						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 153						PLACE		52.05684	-2.71482	Given at							
	HCM 154						PLACE		52.05684	-2.71482	Given at							
	HCM 170						PLACE		52.05684	-2.71482	Given at							
