Source	Target	Weight
Pyon Canonicorum	dean and chapter of Hereford	2
Pyon Canonicorum	Logwardyn	2
Pyon Canonicorum	Wythynton	2
Pyon Canonicorum	Lanton	2
Pyon Canonicorum	Henry le Yonge (sr.)	1
Pyon Canonicorum	Hugh de Lanton	2
Pyon Canonicorum	Robert Boter	1
Pyon Canonicorum	Hoggesshawe	2
Pyon Canonicorum	John le Bole	2
Pyon Canonicorum	la Barewe	2
Pyon Canonicorum	Richard de Hoggesshawe	1
Pyon Canonicorum	John de Wythynton	1
Pyon Canonicorum	John de Logwardyn	1
Pyon Canonicorum	John de la Barewe	1
Pyon Canonicorum	Henry le Yonge	2
dean and chapter of Hereford	Logwardyn	4
dean and chapter of Hereford	Wythynton	3
dean and chapter of Hereford	Lanton	3
dean and chapter of Hereford	Henry le Yonge (sr.)	2
dean and chapter of Hereford	Hugh de Lanton	3
dean and chapter of Hereford	Robert Boter	2
dean and chapter of Hereford	Hoggesshawe	3
dean and chapter of Hereford	John le Bole	3
dean and chapter of Hereford	la Barewe	4
dean and chapter of Hereford	Richard de Hoggesshawe	2
dean and chapter of Hereford	John de Wythynton	1
dean and chapter of Hereford	John de Logwardyn	1
dean and chapter of Hereford	John de la Barewe	2
dean and chapter of Hereford	Henry le Yonge	3
Logwardyn	Wythynton	3
Logwardyn	Lanton	3
Logwardyn	Henry le Yonge (sr.)	2
Logwardyn	Hugh de Lanton	3
Logwardyn	Robert Boter	2
Logwardyn	Hoggesshawe	3
Logwardyn	John le Bole	3
Logwardyn	la Barewe	3
Logwardyn	Richard de Hoggesshawe	2
Logwardyn	John de Wythynton	1
Logwardyn	John de Logwardyn	1
Logwardyn	John de la Barewe	1
Logwardyn	Henry le Yonge	3
Wythynton	Lanton	3
Wythynton	Henry le Yonge (sr.)	2
Wythynton	Hugh de Lanton	3
Wythynton	Robert Boter	2
Wythynton	Hoggesshawe	3
Wythynton	John le Bole	3
Wythynton	la Barewe	3
Wythynton	Richard de Hoggesshawe	2
Wythynton	John de Wythynton	1
Wythynton	John de Logwardyn	1
Wythynton	John de la Barewe	1
Wythynton	Henry le Yonge	3
Lanton	Henry le Yonge (sr.)	2
Lanton	Hugh de Lanton	3
Lanton	Robert Boter	2
Lanton	Hoggesshawe	3
Lanton	John le Bole	3
Lanton	la Barewe	3
Lanton	Richard de Hoggesshawe	2
Lanton	John de Wythynton	1
Lanton	John de Logwardyn	1
Lanton	John de la Barewe	1
Lanton	Henry le Yonge	3
Henry le Yonge (sr.)	Hugh de Lanton	2
Henry le Yonge (sr.)	Robert Boter	2
Henry le Yonge (sr.)	Hoggesshawe	2
Henry le Yonge (sr.)	John le Bole	2
Henry le Yonge (sr.)	la Barewe	2
Henry le Yonge (sr.)	Richard de Hoggesshawe	2
Henry le Yonge (sr.)	John de Wythynton	1
Henry le Yonge (sr.)	John de Logwardyn	1
Henry le Yonge (sr.)	John de la Barewe	1
Henry le Yonge (sr.)	Henry le Yonge	2
Hugh de Lanton	Robert Boter	2
Hugh de Lanton	Hoggesshawe	3
Hugh de Lanton	John le Bole	3
Hugh de Lanton	la Barewe	3
Hugh de Lanton	Richard de Hoggesshawe	2
Hugh de Lanton	John de Wythynton	1
Hugh de Lanton	John de Logwardyn	1
Hugh de Lanton	John de la Barewe	1
Hugh de Lanton	Henry le Yonge	3
Robert Boter	Hoggesshawe	2
Robert Boter	John le Bole	2
Robert Boter	la Barewe	2
Robert Boter	Richard de Hoggesshawe	2
Robert Boter	John de Wythynton	1
Robert Boter	John de Logwardyn	1
Robert Boter	John de la Barewe	1
Robert Boter	Henry le Yonge	2
Hoggesshawe	John le Bole	3
Hoggesshawe	la Barewe	3
Hoggesshawe	Richard de Hoggesshawe	2
Hoggesshawe	John de Wythynton	1
Hoggesshawe	John de Logwardyn	1
Hoggesshawe	John de la Barewe	1
Hoggesshawe	Henry le Yonge	3
John le Bole	la Barewe	3
John le Bole	Richard de Hoggesshawe	2
John le Bole	John de Wythynton	1
John le Bole	John de Logwardyn	1
John le Bole	John de la Barewe	1
John le Bole	Henry le Yonge	3
la Barewe	Richard de Hoggesshawe	2
la Barewe	John de Wythynton	1
la Barewe	John de Logwardyn	1
la Barewe	John de la Barewe	2
la Barewe	Henry le Yonge	3
Richard de Hoggesshawe	John de Wythynton	1
