source	source_id	relation	target	target_id
archdeacon of Shropshire in the church of Hereford	eb5aa76c-da08-4223-bc39-29e83b3df632	Job	John de Ros	6da9dcd4-eb7d-46fb-852f-bf4ca01f82b0
bishop of Llandaff,	bddc7740-1c81-46df-9f82-c16273cb17d6	Job	J[ohn de Monmouth], bishop of Llandaff	3accdcbf-8b2c-4e53-80be-ccf2490f381c
knight	bc577aaf-63c9-436f-90c4-b8144af22bb2	Job	Bartholomew de Batelesmere	de56de90-dcb7-4f94-aa5b-1479e4e514fb
bishop	d16b9927-5e83-461a-abc5-f1d8dd5ed2dc	Job	W.	36db6b70-9511-49a8-a598-f514f447f71a
canon	ee54b7f8-50ec-4b87-9687-229b8ea61735	Job	Ralph de Stokes	960667aa-2bcf-444b-8bcd-dabed08cea58
professor of civil law	3eb772be-8dc1-40db-8084-3d9d8668a097	Job	Benedict de Paston	bb96f9ac-8f42-4639-9941-77e4ef9817d3
knights	7e9c7d9b-d175-49ac-854b-def793182b69	Job	Roger Pychard	ac018234-aaf6-45c8-a91d-7999cbdd6152
knights	7e9c7d9b-d175-49ac-854b-def793182b69	Job	Miles Pychard	ed8f48f4-d2e5-4ccb-b53c-f307a3c3bae0
clerks	be707083-54d9-47ea-b1e0-eb5888a2f5f6	Job	William Bouhs	60142fbc-51e6-401c-9b28-c703e47d4429
clerks	be707083-54d9-47ea-b1e0-eb5888a2f5f6	Job	John de Colonia	442d0667-075e-4c0f-8ab7-c96603ba9f1e
archbishop	f8a25cac-1a6f-4927-8b01-4027dc6fef06	Job	Walter	834c6f48-e1c3-43d1-878a-8effeb680750
doctor of canon and civil law,	7b22d62c-9588-4846-93f0-c339fcac8345	Job	William de Knapeton	4adfca54-6f99-4c9f-be6d-fd07269df2d3
bishop	a59e20d4-b630-4a46-9a0c-5f7564cdf1bb	Job	Richard	5adfe63e-d727-4b91-8dc5-ed4bf43e0c64
dean	dfa50b0c-212b-408a-81c7-f82de2906447	Job	John de Aqua Blanca	f57ab930-11a9-4b89-92f4-497845a90df6
bishop	b0849658-8e32-42e9-a6cc-88891e02ba5f	Job	W.	4b6526f9-cdf2-4d12-9fcc-687cd9274b2c
vicars	04ef34c5-a1c8-4bfa-a802-d560ca474073	Job	Walter de la Bache	bcd826b8-2eec-4fa3-97fc-2644c184a956
vicars	04ef34c5-a1c8-4bfa-a802-d560ca474073	Job	Ranulph de Evesham	081ae8a0-946f-44ea-b4d7-19f927aa53e1
vicars	04ef34c5-a1c8-4bfa-a802-d560ca474073	Job	Robert de Byford	1f9aa063-6315-4d2c-9c3f-0006fa25c57b
dean	abc96314-cdff-4bb8-a2a2-45c1692a6fa2	Job	John	2c65be39-7145-41ff-8dd8-7b027030ab21
canon of the said cathedral church	af6289de-c79d-42e4-b2cd-a1c477a51aad	Job	William de Ros	6e63fbd7-c539-41d2-b749-9981c6aa9b6a
vicar in the church of Hereford	d24cd755-5c09-4391-995a-dfbbaf880288	Job	John Helle	68da28e1-b335-4ae5-8846-1c80b1f3dddf
chaplain	c19c9887-9546-444f-8029-7d82367c1dd2	Job	Peter de Wilton	15c49b9f-86b0-4ae3-ac29-6771681b189d
his servant	20f21c48-8163-43cb-bb71-b306e4b515de	Job	Roger Digge	6deb7a9e-04a4-4183-a16e-c4141c989844
papal chaplain and auditor,	b7ce1f85-bad0-486c-b7cc-572548272454	Job	Petrus Guillelmi	ff53bc80-d683-4ef9-948f-541f0b6955ce
notary public,	a6207be5-72eb-453d-97bc-6ed6dc8cf909	Job	Hugh de Thornhagh	9d957614-98d2-40f0-a04c-e44474d2ecd9
archdeacon of Salop,	6d28db5b-d61d-4df2-9d2d-0e351fcecff9	Job	William de Ros	8862a0e4-2d9a-4832-95dd-7dd1aa95e90a
proctor of the said magister John,	2461094f-5ee6-4a68-b136-31f3ec28ad21	Job	William de Ros	9c245dc2-6d38-4b88-8dce-ff562c4419ac
proctor of magister John de Ros	1607db7b-25d0-4faf-a935-94df0a148864	Job	William de Ros	6e63fbd7-c539-41d2-b749-9981c6aa9b6a
clerk of the diocese of York,	80290713-3465-4af3-a094-8431b43f7353	Job	Hugh de Thornhagh	9d957614-98d2-40f0-a04c-e44474d2ecd9
clerk	b5f383f9-d39b-4da7-a4c8-dfc63081fdd3	Job	Richard called Heruy	0aea5d72-47d2-4cfa-9949-ac2deb6367c4
canon of Vaison,	ac475a2e-75e8-4579-9906-ba60b701b483	Job	Petrus Guillelmi	ff53bc80-d683-4ef9-948f-541f0b6955ce
treasurer	3b354203-02b3-48ab-90ee-25ad0563f2d1	Job	Thomas de Penbrugge	28d8241e-8497-401f-be03-23bb21344578
proctor of the dean and chapter of the cathedral church of Hereford	705e6f2d-e982-484f-853b-afbff899ec67	Job	Thomas de Boleye	2b786a3f-6893-4c85-8239-b9366681a850
proctor of the said magister John	d4991384-cf02-430f-b702-a2cde85d787a	Job	William de Ros	57c6982d-054e-4c87-82e3-6c75db708d52
subexecutor of the said magister Petrus Guillelmi.	17bf4481-1e6c-4af9-a403-07d3165042fd	Job	Stephen Norman	5cd0622a-b82f-4b67-8d20-e10a06d5e729
proctor of the dean and chapter of Hereford in the Roman court in the cause against magister John de Ros	421d95bf-0a24-49da-af7d-8e8fdc574ca5	Job	Richard called Heruy	0aea5d72-47d2-4cfa-9949-ac2deb6367c4
clerk	b2d3db4c-2a6a-4393-aef1-1a9078028336	Job	John de Ros	be069559-adb6-49f8-a774-bebaf28e9d07
bailiff	3e378266-4e9b-467b-b010-8b633f70cc50	Job	Roger le Tayllor	adca1745-c393-48af-8ec2-d97797f9759b
