Source	Target	Role
HCM 2096	Thomas Theobaud	Other
HCM 2096	Thomas Theobaud	Witness
HCM 90	Thomas Tope	Witness
HCM 63	Thomas Tope	Witness
HCM 207	Thomas Tope	Witness
HCM 209	Thomas Tope	Witness
HCM 219	Thomas Tope	Witness
HCM 2096	Thomas Tope	Witness
HCM 746	Thomas Tybaud	Other
HCM 1443	Thome de Cantulupo	Other
HCM 1768	Traynmeybon Meurik	Other
HCM 2879	treasurer in the church of St. Ethelbert of Hereford	Other
HCM 1024	treasurer of Hereford	Other
HCM 2878	treasurer of Hereford	Other
HCM 2585	treasurer of Hereford	Other
HCM 2878	vicar in the church of Hereford	Other
HCM 2582	vicar of Preston	Other
HCM 2059	vicars and clerks of the choir	Other
HCM 2675	Virgin	Other
HCM 2580	W.	Other
HCM 3162	W.	Principal
HCM 2671	W. the Young	Principal
HCM 2670	W. the Young	Other
HCM 2668	W. the Young	Principal
HCM 1703	Waiter ludas	Other
HCM 1652	Walter	Other
HCM 63	Walter	Other
HCM 3155	Walter	Principal
HCM 209	Walter	Principal
HCM 700	Walter	Other
HCM 383	Walter	Principal
HCM 1505	Walter	Other
HCM 385	Walter	Other
HCM 758	Walter, archbishop of Canterbury	Other
HCM 1247	Walter Arnald	Other
HCM 174	Walter Brond	Witness
HCM 746	Walter called de La Barre	Witness
HCM 1751	Walter Caperun	Witness
HCM 564	Walter Cole	Witness
HCM 1247	Walter Cole	Other
HCM 209	Walter Cole de Waddeleye	Principal
HCM 700	Walter de Breynton	Witness
HCM 287	Walter de Cimiten	Other
HCM 1025	Walter de Dunr	Other
HCM 469	Walter de Euysham	Principal
HCM 174	Walter de Hope	Scribe
HCM 2217	Walter de Keyrlyon	Principal
HCM 2582	Walter de la Bache	Other
HCM 3165	Walter de la Bache	Witness
HCM 2996	Walter de la Bache	Principal
HCM 181	Walter de la Borcote	Other
HCM 1503	Walter de la Boxe	Other
HCM 1505	Walter de la Boxe	Other
HCM 1506	Walter de la Boxe	Other
HCM 383	Walter de la More	Witness
HCM 385	Walter de la More	Witness
HCM 384	Walter de la More	Witness
HCM 589	Walter de la Stepple	Principal
HCM 63	Walter de Leom	Scribe
HCM 715	Walter de Maddeleye	Witness
HCM 3180	Walter de Monyton	Witness
HCM 670	Walter de Morcote	Witness
HCM 623	Walter de Nasse	Other
HCM 1417	Walter de Norton	Witness
HCM 559	Walter de Staunton	Witness
HCM 589	Walter de Thornbury,	Principal
HCM 2582	Walter de Wardlowe	Other
HCM 1734	Walter de Weston	Witness
HCM 287	Walter de Weston	Principal
HCM 1703	Walter Iudas	Other
HCM 623	Walter Kedeford	Other
HCM 773	Walter le baggere	Witness
HCM 219	Walter le Bonde	Principal
HCM 2876	Walter le Brut	Witness
HCM 1746	Walter le Calewe	Other
HCM 352	Walter le Chamberleyn	Witness
HCM 290	Walter le Chamberleyn	Witness
HCM 1621	Walter le Spicer	Other
HCM 209	Walter le Spisor	Other
HCM 1652	Walter Mantel	Other
HCM 2505	Walter Morewy	Principal
HCM 1703	Walter of Turford	Principal
HCM 201	Walter Oghwelman, chaplain	Other
HCM 2876	Walter Roggers	Witness
HCM 678	Walter son of Henry le Reue de Waltone	Principal
HCM 700	Walter son of Roger de Mora	Other
HCM 384	Walter son of William Hathewy of Oxenhale	Principal
HCM 385	Walter son of William Hathi of Oxenhale	Principal
HCM 174	Walter the fisherman (piscator) of Retherwas	Other
HCM 201	Walter Theobaud	Scribe
HCM 2096	Walter Theobaud	Witness
HCM 1485	Walter Thop	Witness
HCM 2096	Walter Thorgrym	Witness
HCM 469	Walter Tope	Witness
HCM 1489	Walter Tope	Witness
HCM 593	Walter Whytte	Witness
HCM 352	Warren de Cheuenham	Witness
HCM 1368	Wigmore	Other
HCM 1652	William	Other
HCM 758	William	Other
HCM 3001	William	Other
HCM 218	William	Other
HCM 597	William	Other
HCM 589	William	Other
HCM 1442	William	Principal
HCM 1441	William	Principal
HCM 1441	William	Other
HCM 290	William	Principal
HCM 1311	William	Witness
HCM 2871	William, cardinal-priest of St. Pudentiana's (sancte potenciane)	Other
HCM 2871	William [de] Testa, archdeacon of A[...]n in the church of Cominges ('Archidiacon' Aranen' in ecclesia Couen' ')	Principal
HCM 1768	William ap Howel Vachan	Principal
HCM 1918	William Balle	Witness
HCM 378	William Bene	Other
HCM 378	William Bene	Witness
HCM 287	William Benet de la Wallis	Witness
HCM 209	William Bernard	Witness
HCM 383	William Bollok	Witness
HCM 384	William Bollok	Witness
HCM 3162	William Bouhs	Witness
HCM 755	William called le Bonde	Witness
HCM 1703	William Carbonel	Witness
HCM 2260	William Coumartyn	Other
HCM 1751	William Crodele	Other
HCM 2586	William de Aylyneston	Other
HCM 593	William de Baysham	Other
HCM 593	William de Baysham	Witness
HCM 1736	William de Bereford	Witness
HCM 3155	William de Birston	Other
HCM 589	William de Bleegh(?)	Witness
HCM 1311	William de Brewos	Principal
HCM 1313	William de Brewosia	Principal
HCM 564	William de Brompton	Other
HCM 564	William de Brompton	Witness
HCM 63	William de Byspewalle	Other
HCM 2879	William de Byspewalle	Witness
HCM 678	William de Calewe	Witness
HCM 680	William de Calewe	Witness
HCM 2596	William de Caple	Principal
HCM 1438	William de Caple	Other
HCM 1752	William de Cirescestre	Principal
HCM 201	William de Clehungre	Witness
HCM 1657	William de Clifford	Witness
HCM 2260	William de Donecastr	Other
HCM 469	William de Euysham	Other
HCM 2665	William de Foston'	Principal
HCM 3180	William de Frome	Witness
HCM 2537	William de Frome	Principal
HCM 386	William de Grandisono	Principal
HCM 1851	William de Halstede	Other
HCM 2675	William de Henor	Other
HCM 2666	William de Henor	Principal
HCM 2589	William de Henouere	Principal
HCM 2590	William de Henouere	Principal
HCM 2583	William de Henouere	Principal
HCM 2584	William de Henouere	Principal
HCM 2588	William de Henouere	Principal
HCM 758	William de Knapeton	Principal
HCM 3155	William de Knapeton	Other
HCM 1417	William de Kyngescote	Witness
HCM 63	William de la Hay	Other
HCM 700	William de la Hay	Other
HCM 432	William de la Hay	Other
HCM 287	William de la Walle	Witness
HCM 3180	William de la Wode	Witness
HCM 1851	William de Maldon’	Scribe
HCM 469	William de Mortuo Mari	Principal
HCM 1752	William de Orleton	Witness
HCM 755	William de Orleton	Other
HCM 2096	William de Orleton	Witness
HCM 1734	William de Preston	Principal
HCM 1657	William de Pydesmore	Witness
HCM 2995	William de Ros	Other
HCM 3001	William de Ros	Other
HCM 3001	William de Ros	Other
HCM 1621	William de Ryonnes	Other
HCM 352	William de Shyreburn	Witness
HCM 755	William de Staundon	Witness
HCM 2464	William de Staundon	Witness
HCM 758	William de Stretton	Witness
HCM 2879	William de Stretton	Witness
HCM 1035	William de Suanton	Other
HCM 1077	William de Tests	Other
HCM 773	William de Trilleck	Witness
HCM 1622	William de Wanetyng	Principal
HCM 773	William de Welynton	Witness
HCM 2873	William de Welynton	Witness
HCM 203	William de Welynton	Witness
HCM 1489	William de Welynton	Witness
HCM 406	William de Welynton	Witness
HCM 623	William Ely	Other
HCM 290	William Eseger de Ledebury	Other
HCM 1652	William Geraud	Other
HCM 2873	William Godknave	Other
HCM 1752	William Godknave	Witness
HCM 1974	William Godknave	Witness
HCM 609	William Godknave	Other
HCM 1489	William Godknave	Witness
HCM 203	William Hamelyn	Witness
HCM 746	William Hamelyn	Other
HCM 469	William Hamelyn	Witness
HCM 1485	William Hamelyn	Witness
HCM 383	William Hathewy	Other
HCM 385	William Hathewy	Witness
HCM 384	William Hathewy	Other
HCM 386	William Hathewy	Witness
HCM 385	William Hathi	Other
HCM 589	William his brother	Principal
HCM 1736	William Howard	Witness
HCM 1485	William in le Hale	Witness
HCM 1752	William Inthehale	Other
HCM 1974	William Jouderay	Witness
HCM 1313	William Knoyl	Witness
HCM 1247	William le Blake	Other
HCM 773	William le Bonde	Witness
HCM 670	William le Brok	Other
HCM 681	William le Calew	Witness
HCM 559	William le Cok ' de Staunton	Witness
HCM 2873	William le Comsere	Witness
HCM 203	William le Coruiser	Witness
HCM 218	William le Coruiser	Other
HCM 63	William le Espicer	Witness
HCM 384	William le Gondre	Other
HCM 700	William le Herdemon	Witness
HCM 1529	William le Knoyl	Witness
HCM 559	William le Neucome	Witness
HCM 597	William le Stedemon de Ros	Other
HCM 946	William Lethenard	Witness
HCM 383	William le Tornour	Other
HCM 384	William le Tornour	Other
HCM 287	William le vinour de Ledebur	Witness
HCM 597	William le Webbe de Ros	Witness
HCM 623	William le Wodeward	Other
HCM 681	William Mangant	Witness
HCM 678	William Mangaund	Witness
HCM 700	William Noremon	Principal
HCM 1169	William Ploume	Other
HCM 2096	William Ploume	Other
HCM 2096	William Ploume	Other
HCM 681	William Reed	Other
HCM 90	William Russel	Witness
HCM 2260	William Seruat	Other
HCM 3215 A	William son of Adam Hanlyn	Principal
HCM 1768	William son of Adam Knoil	Witness
HCM 1523	William son of Adam Knoil	Other
HCM 2145	William son of Hugh de Bromfeld	Other
HCM 564	William son of John de la More	Principal
HCM 378	William the clerk of Stok	Witness
HCM 2748	William the Young	Scribe
HCM 2592	William the Young	Principal
HCM 2589	William the Young	Principal
HCM 2590	William the Young	Principal
HCM 2749	William the Young	Principal
HCM 2718	William the Young	Scribe
HCM 2719	William the Young	Scribe
HCM 2713	William the Young	Principal
HCM 2712	William the Young	Principal
HCM 2583	William the Young	Principal
HCM 2584	William the Young	Principal
HCM 2588	William the Young	Principal
HCM 2666	William the Young	Principal
HCM 2260	William Trente	Other
HCM 2748	William Valet, subtreasurer of the church of Hereford	Principal
HCM 2749	William Vallet	Principal
HCM 1417	William Vallet	Witness
HCM 2875	William Vallet, subtreasurer	Principal
HCM 2096	William Vynt	Other
HCM 1918	William Woderoue of Estenouere	Principal
HCM 1974	William Wycher	Other
HCM 670	William Wyteknyght de Munstreworthe	Principal
HCM 559	William Wytte de Stauntone juxta Cors	Principal
HCM 1529	Williem de Brewes'	Principal
HCM 2226	Williem of the same	Other
HCM 2712	Williem Valet	Principal
HCM 1918	Williom de la Pole of Ledbury	Principal
HCM 2878	Willion Vallet	Other
HCM 2595	Willism de Bliburg	Principal
HCM 1523	Willym ap Oweyn	Principal
